player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,team_id,team_name,region,gamechanger
SUPERPHROG,HERO,"['chamber', 'killjoy', 'cypher']",296,0.85,177.2,0.88,62%,125.3,0.65,0.13,0.11,0.11,32%,13%,15749,HEROIC Valkyries,ap,False
Rosé,PCF,"['sova', 'breach', 'kayo']",827,0.85,162.8,0.82,67%,111.1,0.57,0.28,0.07,0.10,28%,25%,3478,PCIFIC Espor,ap,False
Boaster,FNC,"['omen', 'viper', 'astra']",604,0.85,150.7,0.82,71%,97.1,0.51,0.39,0.08,0.11,26%,15%,2593,FNATIC,ap,False
Prti,DIA,"['fade', 'skye', 'breach']",621,0.85,164.9,0.81,68%,112.5,0.58,0.35,0.05,0.09,28%,14%,8049,Diamant Esports,ap,False
eNes,SGE,"['clove', 'omen']",206,0.84,169.4,0.75,70%,110.6,0.58,0.39,0.06,0.06,22%,13%,14478,Eintracht Frankfurt,ap,False
Feeqn,OF,"['cypher', 'viper', 'killjoy']",218,0.83,173.8,0.78,66%,117.8,0.60,0.18,0.05,0.06,20%,6%,7932,OnlyFins,ap,False
6sonya,O1O,"['sova', 'fade']",273,0.81,154.6,0.77,65%,107.1,0.56,0.22,0.05,0.07,37%,12%,13226,Odd 1 OUT,ap,False
Touven,GGO,"['raze', 'sova', 'yoru']",221,0.80,175.3,0.79,65%,120.8,0.60,0.20,0.10,0.19,26%,11%,4572,Galatasaray Esports,ap,False
Bully,NXT,"['omen', 'brimstone', 'cypher']",219,0.80,173.4,0.77,71%,121.5,0.60,0.38,0.08,0.10,25%,10%,13224,NXT,ap,False
nixoon,OF,"['omen', 'clove', 'viper']",218,0.79,185.7,0.73,65%,113.4,0.64,0.37,0.11,0.13,23%,7%,7932,OnlyFins,ap,False
MAGNUM,KC,"['killjoy', 'sova', 'kayo']",208,0.79,161.9,0.73,72%,109.3,0.54,0.30,0.10,0.13,32%,12%,8877,Karmine Corp,ap,False
BennY,CGN,"['gekko', 'phoenix', 'raze']",775,0.78,154.6,0.79,65%,99.9,0.55,0.23,0.09,0.13,28%,11%,5214,CGN Esports,ap,False
Cille,HERO,"['fade', 'sova', 'kayo']",296,0.78,150.1,0.73,68%,95.6,0.54,0.32,0.03,0.08,25%,13%,15749,HEROIC Valkyries,ap,False
SouhcNi,SUP,"['skye', 'gekko', 'sova']",259,0.78,157.7,0.73,66%,105.2,0.50,0.32,0.05,0.12,28%,14%,4567,Papara SuperMassive,ap,False
Jesmu,OF,"['sova', 'gekko', 'fade']",218,0.78,165.4,0.73,68%,112.5,0.57,0.30,0.09,0.11,19%,20%,7932,OnlyFins,ap,False
Ixela,HOWL.M,"['jett', 'viper', 'gekko']",240,0.77,165.7,0.71,67%,109.5,0.55,0.39,0.08,0.11,27%,17%,15811,Ketçaplı Ruffles,ap,False
tomaszy,KC,"['harbor', 'cypher', 'neon']",208,0.74,157.5,0.73,62%,106.5,0.55,0.21,0.06,0.10,31%,4%,8877,Karmine Corp,ap,False
ANXiOS,SKUL,"['skye', 'omen', 'kayo']",385,0.73,150.9,0.66,69%,97.8,0.50,0.47,0.06,0.09,22%,9%,9621,trashcan,ap,False
