player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,team_id,team_name,region,gamechanger
Pa1ze,DIA,"['raze', 'neon', 'jett']",621,1.05,240.4,1.11,69%,152.4,0.83,0.16,0.22,0.19,28%,13%,8049,Diamant Esports,ap,False
al0rante,FKS,"['astra', 'viper', 'cypher']",245,1.05,202.3,1.09,68%,135.9,0.73,0.17,0.09,0.09,42%,10%,6882,FOKUS,ap,False
Xaline,Huge,"['cypher', 'deadlock', 'killjoy']",298,1.05,209.6,1.05,70%,143.0,0.73,0.25,0.09,0.11,22%,9%,15862,charbon,ap,False
Vince,CGN,"['brimstone', 'astra', 'omen']",775,1.05,195.4,1.06,72%,125.9,0.70,0.37,0.06,0.06,23%,18%,5214,CGN Esports,ap,False
ianto,RUD,"['gekko', 'viper', 'kayo']",358,1.05,193.6,1.03,74%,125.9,0.66,0.31,0.07,0.09,25%,21%,14523,Requiem,ap,False
elllement,CGN,"['raze', 'jett', 'yoru']",775,1.05,230.6,1.14,69%,152.8,0.80,0.17,0.20,0.15,26%,21%,5214,CGN Esports,ap,False
Padisah,GS,"['viper', 'killjoy', 'cypher']",221,1.05,219.9,1.07,74%,145.6,0.77,0.22,0.07,0.05,38%,3%,4572,Galatasaray Esports,ap,False
Miyori,GX.GC,"['cypher', 'killjoy', 'chamber']",236,1.04,220.5,1.08,68%,141.5,0.78,0.21,0.14,0.12,30%,22%,15119,GIANTX GC,ap,False
mikee,JL,"['killjoy', 'viper', 'cypher']",449,1.04,194.0,1.06,74%,129.3,0.68,0.26,0.06,0.08,26%,22%,11232,Joblife,ap,False
RobbieBk,JL,"['sova', 'skye', 'fade']",449,1.04,191.5,1.03,72%,130.8,0.69,0.27,0.06,0.08,34%,20%,11232,Joblife,ap,False
Smurfette,GX.GC,"['neon', 'jett', 'yoru']",236,1.04,229.1,1.12,69%,151.4,0.84,0.15,0.19,0.19,28%,27%,15119,GIANTX GC,ap,False
Turko,FF,"['brimstone', 'cypher', 'omen']",235,1.04,195.2,1.04,70%,126.1,0.70,0.27,0.08,0.06,34%,21%,4686,Fire Flux Esports,ap,False
Fizzy,MOUZ,"['killjoy', 'cypher', 'viper']",634,1.04,211.4,1.12,70%,138.9,0.77,0.18,0.10,0.09,32%,11%,8044,MOUZ,ap,False
Saiz,BAR,"['viper', 'killjoy', 'cypher']",499,1.04,201.0,1.05,68%,133.3,0.73,0.16,0.10,0.08,38%,14%,14461,Barça eSports,ap,False
AtaKaptan,FUT,"['omen', 'viper', 'brimstone']",255,1.03,206.0,1.04,71%,130.7,0.72,0.34,0.09,0.12,28%,,1184,FUT Esports,ap,False
Famsii,GX,"['neon', 'omen', 'raze']",287,1.03,224.8,1.07,73%,151.4,0.82,0.26,0.14,0.14,28%,,14419,GIANTX,ap,False
Anima,HOWL,"['fade', 'kayo', 'breach']",381,1.03,191.2,0.98,75%,128.3,0.64,0.48,0.06,0.06,23%,4%,13558,HOWL Esports,ap,False
Ticey,SNS,"['raze', 'yoru', 'jett']",617,1.03,232.2,1.07,68%,150.1,0.81,0.17,0.20,0.19,20%,18%,14467,SweetNsour,ap,False
Petra,G2.G,"['sova', 'fade', 'skye']",202,1.02,192.0,1.10,72%,132.2,0.68,0.29,0.05,0.10,26%,29%,6530,G2 Gozen,ap,False
starki,MOUZ,"['omen', 'brimstone', 'astra']",634,1.02,198.8,1.02,72%,129.2,0.69,0.38,0.10,0.10,30%,15%,8044,MOUZ,ap,False
Shazeon,SGE,"['viper', 'cypher', 'fade']",206,1.02,203.8,1.02,71%,131.7,0.73,0.24,0.11,0.11,28%,11%,14478,Eintracht Frankfurt,ap,False
susbake,O1O,"['sage', 'deadlock', 'sova']",349,1.02,215.4,1.00,71%,143.5,0.74,0.26,0.10,0.10,33%,26%,13226,Odd 1 OUT,ap,False
Tag,DSY,"['viper', 'sage', 'cypher']",351,1.02,192.4,1.04,70%,135.9,0.70,0.27,0.08,0.10,37%,16%,6538,DSYRE,ap,False
TajReX,LDS,"['viper', 'raze', 'killjoy']",385,1.02,218.9,1.01,70%,147.3,0.74,0.23,0.13,0.11,24%,8%,9621,trashcan,ap,False
Sliicyy,char,"['yoru', 'breach', 'kayo']",298,1.02,201.8,0.96,71%,127.5,0.70,0.46,0.09,0.10,26%,22%,15862,charbon,ap,False
Kicks,VIT,"['kayo', 'breach', 'gekko']",611,1.02,185.6,0.94,73%,119.6,0.65,0.47,0.07,0.07,22%,21%,2059,Team Vitality,ap,False
ALIVE,ACE,"['jett', 'raze']",375,1.01,208.5,1.00,71%,143.4,0.70,0.23,0.14,0.12,24%,9%,3531,Acend,ap,False
zeek,GN,"['sova', 'kayo', 'breach']",496,1.01,190.9,1.02,73%,130.2,0.67,0.34,0.07,0.06,24%,13%,12474,GoNext Esports,ap,False
benjyfishy,TH,"['viper', 'cypher', 'killjoy']",950,1.01,188.1,1.07,70%,127.4,0.71,0.17,0.08,0.09,37%,17%,1001,Team Heretics,ap,False
Crewen,HOWL,"['cypher', 'killjoy', 'viper']",381,1.01,192.5,1.00,72%,133.0,0.69,0.26,0.09,0.06,28%,6%,13558,HOWL Esports,ap,False
d3ffo,VLNT,"['jett', 'yoru', 'raze']",503,1.01,220.1,1.03,69%,148.0,0.78,0.16,0.17,0.15,25%,18%,10188,VALIANT,ap,False
