player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,team_id,team_name,region,gamechanger
Fixy,RDA,"['raze', 'jett', 'chamber']",418,0.94,209.1,0.93,66%,136.4,0.72,0.18,0.17,0.20,23%,20%,14790,Reve Drift Arena,jp,False
SCar,ARF,"['omen', 'viper', 'brimstone']",257,0.94,174.8,0.85,71%,114.6,0.62,0.40,0.05,0.11,39%,11%,8925,ARF TEAM,jp,False
DubsteP,OAS,"['omen', 'brimstone', 'viper']",251,0.93,171.5,0.93,73%,110.9,0.61,0.35,0.04,0.08,34%,14%,3136,Oasis Gaming,jp,False
Siraww,XIA,"['skye', 'fade', 'sova']",395,0.93,183.9,0.92,67%,124.9,0.66,0.25,0.04,0.08,32%,16%,7397,XERXIA Esports,jp,False
ray4c,AE,['raze'],329,0.93,217.9,0.93,72%,139.7,0.72,0.24,0.16,0.17,12%,11%,1110,Alter Ego,jp,False
DelBisky,BOBA,"['clove', 'reyna', 'iso']",272,0.92,192.8,0.90,73%,125.8,0.66,0.34,0.10,0.07,29%,14%,15327,BOBA,jp,False
Repulsive,206,"['omen', 'brimstone']",206,0.92,169.1,0.79,72%,109.4,0.53,0.50,0.05,0.09,23%,3%,15052,JustUs,jp,False
jEEE,ZOL,"['harbor', 'brimstone', 'omen']",359,0.92,178.0,0.89,71%,120.4,0.63,0.36,0.04,0.09,28%,22%,8375,ZOL Esports,jp,False
Kakarot,ZOL,"['neon', 'raze', 'jett']",414,0.91,202.2,0.90,71%,133.5,0.68,0.33,0.11,0.15,22%,21%,8375,ZOL Esports,jp,False
Aisling,THE.K,"['killjoy', 'sova', 'skye']",282,0.91,175.4,0.88,72%,113.0,0.61,0.37,0.04,0.09,19%,24%,15319,4Fun,jp,False
markL,RDA,"['viper', 'astra', 'cypher']",418,0.91,187.0,0.92,68%,121.3,0.67,0.22,0.08,0.11,22%,19%,14790,Reve Drift Arena,jp,False
Answerz,(+1),"['killjoy', 'chamber', 'viper']",210,0.89,183.4,0.84,66%,126.0,0.62,0.22,0.11,0.10,25%,3%,16302,123,jp,False
Governor,TLN,"['neon', 'kayo', 'clove']",311,0.89,194.9,0.88,67%,125.9,0.67,0.27,0.15,0.16,23%,8%,8304,Talon Esports,jp,False
jans0n,RDA,"['cypher', 'gekko', 'breach']",418,0.88,169.9,0.83,70%,109.3,0.60,0.36,0.07,0.09,27%,4%,14790,Reve Drift Arena,jp,False
QiQi,Ay,"['killjoy', 'viper']",204,0.88,183.9,0.91,70%,126.3,0.65,0.23,0.04,0.11,23%,30%,15899,Cardboard Dinosaur,jp,False
b3ta,XIA,"['omen', 'brimstone', 'viper']",395,0.87,181.1,0.83,70%,120.6,0.63,0.35,0.07,0.10,30%,18%,7397,XERXIA Esports,jp,False
Jelerak,(+5),"['kayo', 'brimstone', 'sage']",230,0.87,175.7,0.81,70%,108.2,0.59,0.38,0.10,0.13,17%,20%,15913,LILAX,jp,False
Nythan,ARF,"['breach', 'astra', 'gekko']",257,0.87,172.7,0.85,68%,120.1,0.63,0.20,0.06,0.08,34%,19%,8925,ARF TEAM,jp,False
shirah0sh1,RG,"['killjoy', 'reyna', 'cypher']",304,0.87,189.7,0.84,62%,125.7,0.68,0.19,0.08,0.13,31%,18%,15895,Avernus Esports GC,jp,False
Chowdy,YG,"['sova', 'skye', 'breach']",225,0.87,168.5,0.77,68%,116.8,0.60,0.29,0.06,0.10,34%,15%,7030,Tyrant Esports,jp,False
ban,TLN,"['cypher', 'breach', 'phoenix']",311,0.87,171.0,0.85,66%,116.2,0.61,0.22,0.07,0.10,34%,11%,8304,Talon Esports,jp,False
N1ER,(+3),"['reyna', 'raze', 'neon']",225,0.86,195.1,0.84,65%,131.2,0.69,0.15,0.14,0.10,27%,14%,7030,Tyrant Esports,jp,False
Mimo,230,"['killjoy', 'cypher']",230,0.86,170.1,0.83,66%,117.7,0.59,0.14,0.04,0.05,22%,9%,15913,LILAX,jp,False
Arki,AVN.GC,"['breach', 'cypher', 'omen']",304,0.84,170.8,0.76,64%,114.3,0.60,0.34,0.05,0.10,19%,10%,15895,Avernus Esports GC,jp,False
BE,KBLD,"['sova', 'omen', 'skye']",210,0.84,157.2,0.85,68%,103.5,0.60,0.22,0.08,0.09,40%,32%,16302,123,jp,False
Kathrina,(+1),"['gekko', 'skye', 'sova']",304,0.84,178.7,0.75,67%,114.1,0.59,0.33,0.04,0.11,15%,15%,15895,Avernus Esports GC,jp,False
Marpandyz,(+2),"['sova', 'skye', 'fade']",230,0.84,171.8,0.83,65%,110.3,0.60,0.27,0.08,0.07,17%,10%,15913,LILAX,jp,False
Witz,OAS,"['fade', 'skye', 'kayo']",251,0.84,170.5,0.82,71%,113.5,0.60,0.37,0.04,0.12,23%,13%,3136,Oasis Gaming,jp,False
TRIPCIEW,RLF,"['cypher', 'omen', 'viper']",345,0.83,169.6,0.78,68%,112.6,0.58,0.30,0.07,0.13,29%,20%,11276,Rapid Lofi,jp,False
SyKo,PUG,"['sova', 'skye']",206,0.82,163.7,0.75,69%,110.5,0.56,0.37,0.06,0.10,35%,15%,15052,JustUs,jp,False
bnwgiggs,XIA,"['viper', 'breach', 'kayo']",395,0.82,175.2,0.78,70%,111.2,0.60,0.41,0.06,0.05,21%,16%,7397,XERXIA Esports,jp,False
Ivory,RH,"['sova', 'iso', 'jett']",320,0.82,199.3,0.83,67%,132.7,0.68,0.20,0.19,0.22,23%,14%,15319,4Fun,jp,False
kikowo,(+3),"['neon', 'jett', 'gekko']",310,0.82,181.3,0.80,63%,123.3,0.63,0.26,0.09,0.14,25%,11%,15899,Cardboard Dinosaur,jp,False
69Shinobu,GB,"['reyna', 'brimstone', 'clove']",234,0.79,160.0,0.64,66%,106.4,0.53,0.41,0.04,0.03,20%,10%,15319,4Fun,jp,False
Crws,TLN,"['sova', 'breach', 'fade']",311,0.78,164.9,0.77,66%,112.5,0.55,0.27,0.05,0.09,20%,11%,8304,Talon Esports,jp,False
CHIMEI,OF,"['kayo', 'skye', 'fade']",306,0.78,150.3,0.67,68%,98.9,0.49,0.40,0.04,0.08,19%,3%,3108,Oblivion Force,jp,False
syd89,(+1),"['omen', 'brimstone', 'kayo']",304,0.77,144.9,0.66,65%,98.5,0.50,0.38,0.04,0.06,30%,15%,15895,Avernus Esports GC,jp,False
Orgil,(+2),"['kayo', 'skye', 'gekko']",210,0.77,176.2,0.73,64%,116.7,0.57,0.31,0.09,0.09,29%,12%,16302,123,jp,False
albus,RLF,"['cypher', 'fade', 'killjoy']",266,0.75,160.3,0.73,65%,110.1,0.56,0.22,0.06,0.09,28%,11%,11276,Rapid Lofi,jp,False
